FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
DEHAM,GBSOU,400,400
DEHAM,KRPUS,14365,595
DEHAM,MATNG,1594,595
DEHAM,MXTUX,5343,942
DEHAM,MXVER,5334,942
DEHAM,NLRTM,230,230
DEHAM,PLGDN,822,822
DEHAM,SGSIN,12008,942
DEHAM,TRYAL,3398,597
DEHAM,USCHS,3989,1006
DEHAM,USNYC,3571,1073
DEHAM,USORF,3643,851
DEHAM,USPEF,4295,1061
DEHAM,USSAV,4054,1061
DEWVN,BEANR,279,279
DEWVN,DEHAM,136,136
DEWVN,ESALG,1538,573
DEWVN,FRLEH,423,423
DEWVN,MXVER,5222,450
DEWVN,NLRTM,361,361
DEWVN,SGSIN,12029,573
DOCAU,CAHAL,1702,235
DOCAU,CASJB,1702,235
DOCAU,FRLEH,3836,199
DOCAU,GBSOU,3813,159
DOCAU,USSAV,1150,237
EGAKI,CNTXG,15095,0
EGAKI,SGSIN,12482,0
EGAKI,TRIZT,760,0
EGDAM,EGSCA,37,0
EGDAM,EGSUZ,37,0
EGDAM,ESBCN,1546,0
EGDAM,ESVLC,1623,0
EGDAM,GRPIR,512,0
EGDAM,ILASH,262,0
EGDAM,SGSIN,5170,0
EGDAM,TRIST,722,0
EGSCA,AEJEA,2940,0
EGSCA,CAHAL,4709,391
EGSCA,CNNGB,7134,0
EGSCA,CNSHA,7195,0
EGSCA,CNSHK,6477,0
EGSCA,CNTAO,7390,7390
EGSCA,CNXMN,6580,0
EGSCA,CNYTN,6526,0
EGSCA,EGDAM,37,0
EGSCA,ESALG,1678,0
EGSCA,FRLEH,3122,216
EGSCA,GBLGP,3267,352
EGSCA,GBSOU,3109,190
EGSCA,GRPIR,648,0
EGSCA,HKHKG,6478,0
EGSCA,ILASH,153,0
EGSCA,ILHFA,256,0
EGSCA,ITGOA,1444,0
EGSCA,KRPUS,7596,0
EGSCA,MAPTM,1987,0
EGSCA,MATNG,1987,0
EGSCA,MYPKG,4934,0
EGSCA,NLRTM,3352,402
EGSCA,SAJED,674,0
EGSCA,SGSIN,5048,0
EGSCA,TRIST,849,0
EGSCA,TWKHH,6727,0
EGSCA,USHOU,6768,242
EGSCA,USNYC,5167,368
EGSCA,USORF,1826,290
EGSCA,USSAV,5648,260
EGSOK,EGDAM,11957,0
EGSOK,SAJED,619,0
EGSOK,SGSIN,5057,0
EGSUZ,AEJEA,2940,0
EGSUZ,CAHAL,4709,391
EGSUZ,CNSHK,6477,0
EGSUZ,CNYTN,6526,0
EGSUZ,EGDAM,37,0
EGSUZ,FRLEH,3122,216
EGSUZ,GBSOU,3109,190
EGSUZ,GRPIR,648,0
EGSUZ,ILASH,153,0
EGSUZ,ITGOA,1444,0
EGSUZ,MAPTM,1987,0
EGSUZ,NLRTM,3352,402
EGSUZ,SAJED,674,0
EGSUZ,SGSIN,5048,0
EGSUZ,USNYC,5167,368
ESALG,BEANR,1370,352
ESALG,EGDAM,1800,0
ESALG,EGSCA,1687,0
ESALG,FRFOS,701,0
ESALG,ITGOA,849,0
ESALG,ITLIV,1004,0
ESALG,ITSAL,1124,0
ESALG,ITSPE,889,0
ESALG,KRPUS,13177,0
ESALG,MATNG,32,0
ESALG,NLRTM,1652,300
ESALG,SGSIN,10688,0
ESALG,USNYC,3214,368
ESBCN,EGSCA,1626,0
ESBCN,EGSUZ,1626,0
ESBCN,ESVLC,145,0
ESBCN,FRFOS,172,0
ESBCN,GRPIR,1342,0
ESBCN,ITGOA,348,0
ESBCN,ITSPE,380,0
ESBCN,MAPTM,539,0
ESBCN,MATNG,539,0
ESBCN,SGSIN,11199,0
ESBCN,USNYC,3721,399
ESFRO,GBSOU,536,190
ESVLC,CNTAO,13388,0
ESVLC,EGDAM,1623,0
ESVLC,EGSCA,1703,0
ESVLC,EGSUZ,1703,0
ESVLC,ESALG,392,0
ESVLC,ESBCN,145,0
ESVLC,FRFOS,332,0
ESVLC,GBSOU,1555,169
